obs;block;trial;theta;resp;rt;cond;delta;error;study;experiment;stimulus
1;1;1;177;1.30425014527275;1.59219821714305;2;NaN;4.30425014527276;Fritsche et al. (2020);Experiment 3;Orientation
1;1;2;176;174.286111849025;2.56775716571428;1;1;-1.71388815097495;Fritsche et al. (2020);Experiment 3;Orientation
1;1;3;83;84.1940917133077;2.06772736000039;1;-87;1.19409171330773;Fritsche et al. (2020);Experiment 3;Orientation
1;1;4;129;124.896570911779;1.16767926857119;2;-46;-4.10342908822116;Fritsche et al. (2020);Experiment 3;Orientation
1;1;5;42;33.3293679109221;1.13459785142913;1;87;-8.67063208907788;Fritsche et al. (2020);Experiment 3;Orientation
1;1;6;19;25.4530821596359;1.25109394285664;1;23;6.45308215963594;Fritsche et al. (2020);Experiment 3;Orientation
1;1;7;165;150.973804521431;1.63429668571371;2;34;-14.026195478569;Fritsche et al. (2020);Experiment 3;Orientation
1;1;8;144;149.448483733943;2.10105014857163;1;21;5.44848373394308;Fritsche et al. (2020);Experiment 3;Orientation
1;1;9;133;125.436927281964;1.53439890285699;1;11;-7.56307271803622;Fritsche et al. (2020);Experiment 3;Orientation
1;1;10;103;101.838849920342;2.06766226285708;2;30;-1.16115007965755;Fritsche et al. (2020);Experiment 3;Orientation
1;1;11;145;157.312446406289;1.50098651428561;2;-42;12.3124464062891;Fritsche et al. (2020);Experiment 3;Orientation
1;1;12;146;170.200818860675;1.63432667428606;2;-1;24.2008188606752;Fritsche et al. (2020);Experiment 3;Orientation
1;1;13;78;67.7272248019721;1.05111149714321;1;68;-10.2727751980279;Fritsche et al. (2020);Experiment 3;Orientation
1;1;14;121;111.363585152184;1.21782015999997;1;-43;-9.63641484781628;Fritsche et al. (2020);Experiment 3;Orientation
1;1;15;61;48.2991966745547;1.7677856914288;1;60;-12.7008033254453;Fritsche et al. (2020);Experiment 3;Orientation
1;1;16;80;60.4876118817136;2.23436470857087;1;-19;-19.5123881182864;Fritsche et al. (2020);Experiment 3;Orientation
1;1;17;55;21.7497153629886;1.51772854857154;2;25;-33.2502846370114;Fritsche et al. (2020);Experiment 3;Orientation
1;1;18;69;65.7701510891264;1.0344199314286;1;-14;-3.22984891087357;Fritsche et al. (2020);Experiment 3;Orientation
1;1;19;105;106.353706028186;2.01779858285772;1;-36;1.35370602818629;Fritsche et al. (2020);Experiment 3;Orientation
1;1;20;0;176.500127707606;1.71784155428577;2;-75;-3.49987229239358;Fritsche et al. (2020);Experiment 3;Orientation
1;1;21;79;75.8968287265881;2.41765339428639;2;-79;-3.10317127341192;Fritsche et al. (2020);Experiment 3;Orientation
1;1;22;68;62.115036955609;2.03455268571452;1;11;-5.88496304439098;Fritsche et al. (2020);Experiment 3;Orientation
1;1;23;178;179.271406030816;1.80104557714276;1;70;1.27140603081577;Fritsche et al. (2020);Experiment 3;Orientation
1;1;24;3;9.90088965457248;1.63443126857146;2;-5;6.90088965457248;Fritsche et al. (2020);Experiment 3;Orientation
1;1;25;10;6.70638559671686;2.03441883428604;2;-7;-3.29361440328314;Fritsche et al. (2020);Experiment 3;Orientation
1;1;26;165;160.664210960743;1.35110180571428;1;25;-4.33578903925729;Fritsche et al. (2020);Experiment 3;Orientation
1;1;27;98;103.564158334982;1.93437366857142;1;67;5.56415833498205;Fritsche et al. (2020);Experiment 3;Orientation
1;1;28;127;121.926832720797;2.35113106285735;1;-29;-5.07316727920251;Fritsche et al. (2020);Experiment 3;Orientation
1;1;29;106;112.629281903277;2.00111250285681;1;21;6.62928190327679;Fritsche et al. (2020);Experiment 3;Orientation
1;1;30;165;156.191125798161;2.36772096000004;1;-59;-8.80887420183859;Fritsche et al. (2020);Experiment 3;Orientation
1;1;31;83;78.1111356394733;2.01777993142878;2;82;-4.88886436052665;Fritsche et al. (2020);Experiment 3;Orientation
1;1;32;73;78.6304127214003;1.18451163428563;1;10;5.63041272140028;Fritsche et al. (2020);Experiment 3;Orientation
