obs;theta;resp;delta;error;cond;block;rt;study;experiment;stimulus
1;152;152;NaN;0;1;1;1.17679935507476;Kondo et al. (2022);Experiment 1;Orientation
1;79;66;73;-13;1;1;1.56040187110193;Kondo et al. (2022);Experiment 1;Orientation
1;31;28;48;-3;1;1;1.58127166493796;Kondo et al. (2022);Experiment 1;Orientation
1;90;87;-59;-3;1;1;2.37268804502673;Kondo et al. (2022);Experiment 1;Orientation
1;71;71;19;0;1;1;1.14297686307691;Kondo et al. (2022);Experiment 1;Orientation
1;57;59;14;2;1;1;2.35855014901608;Kondo et al. (2022);Experiment 1;Orientation
1;24;31;33;7;1;1;1.53909972100519;Kondo et al. (2022);Experiment 1;Orientation
1;176;168;28;-8;1;1;1.69120419793762;Kondo et al. (2022);Experiment 1;Orientation
1;12;18;-16;6;1;1;1.46881597698666;Kondo et al. (2022);Experiment 1;Orientation
1;17;29;-5;12;1;1;1.47449781885371;Kondo et al. (2022);Experiment 1;Orientation
1;34;31;-17;-3;1;1;2.40050233481452;Kondo et al. (2022);Experiment 1;Orientation
1;12;9;22;-3;1;1;1.23682376695797;Kondo et al. (2022);Experiment 1;Orientation
1;114;115;78;1;1;1;1.36113748513162;Kondo et al. (2022);Experiment 1;Orientation
1;139;134;-25;-5;1;1;1.78029571496882;Kondo et al. (2022);Experiment 1;Orientation
1;83;72;56;-11;1;1;1.51731991791166;Kondo et al. (2022);Experiment 1;Orientation
1;50;59;33;9;1;1;2.64032747596502;Kondo et al. (2022);Experiment 1;Orientation
1;171;168;59;-3;1;1;2.30820838198997;Kondo et al. (2022);Experiment 1;Orientation
1;47;43;-56;-4;1;1;1.52292033913545;Kondo et al. (2022);Experiment 1;Orientation
1;27;38;20;11;1;1;1.07087633386254;Kondo et al. (2022);Experiment 1;Orientation
1;14;16;13;2;1;1;1.64401693688706;Kondo et al. (2022);Experiment 1;Orientation
1;70;66;-56;-4;1;1;1.8087831591256;Kondo et al. (2022);Experiment 1;Orientation
1;94;96;-24;2;1;1;1.59498731396161;Kondo et al. (2022);Experiment 1;Orientation
1;93;92;1;-1;1;1;0.705758350901306;Kondo et al. (2022);Experiment 1;Orientation
1;169;162;-76;-7;1;1;1.53726747306064;Kondo et al. (2022);Experiment 1;Orientation
1;16;20;-27;4;1;1;1.31370582408272;Kondo et al. (2022);Experiment 1;Orientation
1;21;24;-5;3;1;1;1.36695723794401;Kondo et al. (2022);Experiment 1;Orientation
1;86;84;-65;-2;1;1;1.47291419794783;Kondo et al. (2022);Experiment 1;Orientation
1;50;51;36;1;1;1;0.92657758295536;Kondo et al. (2022);Experiment 1;Orientation
1;159;160;71;1;1;1;2.01843548985198;Kondo et al. (2022);Experiment 1;Orientation
1;74;69;85;-5;1;1;2.11528525804169;Kondo et al. (2022);Experiment 1;Orientation
1;44;36;30;-8;1;1;1.09707752009854;Kondo et al. (2022);Experiment 1;Orientation
1;15;22;29;7;1;1;1.84830351918936;Kondo et al. (2022);Experiment 1;Orientation
1;18;25;-3;7;1;1;1.43380916793831;Kondo et al. (2022);Experiment 1;Orientation
1;147;147;51;0;1;1;1.75253191590309;Kondo et al. (2022);Experiment 1;Orientation
1;141;145;6;4;1;1;1.83814917504787;Kondo et al. (2022);Experiment 1;Orientation
1;63;51;78;-12;1;1;1.02662258595228;Kondo et al. (2022);Experiment 1;Orientation
1;116;137;-53;21;1;1;0.795557487988845;Kondo et al. (2022);Experiment 1;Orientation
1;64;61;52;-3;1;1;1.99941785284318;Kondo et al. (2022);Experiment 1;Orientation
1;101;110;-37;9;1;1;1.10776951210573;Kondo et al. (2022);Experiment 1;Orientation
1;67;71;34;4;1;1;0.747017759131268;Kondo et al. (2022);Experiment 1;Orientation
1;100;113;-33;13;1;1;1.36224570404738;Kondo et al. (2022);Experiment 1;Orientation
1;160;146;-60;-14;1;1;0.766205633990467;Kondo et al. (2022);Experiment 1;Orientation
1;90;82;70;-8;1;1;1.49003914603963;Kondo et al. (2022);Experiment 1;Orientation
1;105;120;-15;15;1;1;1.31655018287711;Kondo et al. (2022);Experiment 1;Orientation
1;175;155;-70;-20;1;1;1.44221287709661;Kondo et al. (2022);Experiment 1;Orientation
1;16;21;-21;5;1;1;1.2946687520016;Kondo et al. (2022);Experiment 1;Orientation
1;60;51;-44;-9;1;1;1.06466514593922;Kondo et al. (2022);Experiment 1;Orientation
1;37;26;23;-11;1;1;1.77639906294644;Kondo et al. (2022);Experiment 1;Orientation
1;52;68;-15;16;1;1;1.96040528197773;Kondo et al. (2022);Experiment 1;Orientation
1;115;121;-63;6;1;1;1.17128807795234;Kondo et al. (2022);Experiment 1;Orientation
1;94;99;21;5;1;2;2.06225780094974;Kondo et al. (2022);Experiment 1;Orientation
1;81;89;13;8;1;2;1.55910376086831;Kondo et al. (2022);Experiment 1;Orientation
1;135;142;-54;7;1;2;1.33063773391768;Kondo et al. (2022);Experiment 1;Orientation
1;147;144;-12;-3;1;2;2.22796117584221;Kondo et al. (2022);Experiment 1;Orientation
1;89;77;58;-12;1;2;2.30607455805875;Kondo et al. (2022);Experiment 1;Orientation
1;140;157;-51;17;1;2;1.98535127495416;Kondo et al. (2022);Experiment 1;Orientation
1;153;148;-13;-5;1;2;1.23456531506963;Kondo et al. (2022);Experiment 1;Orientation
1;127;115;26;-12;1;2;1.70362122287042;Kondo et al. (2022);Experiment 1;Orientation
1;134;141;-7;7;1;2;1.86406021099538;Kondo et al. (2022);Experiment 1;Orientation
1;73;65;61;-8;1;2;0.896668429952115;Kondo et al. (2022);Experiment 1;Orientation
1;140;146;-67;6;1;2;0.802365283947438;Kondo et al. (2022);Experiment 1;Orientation
1;153;153;-13;0;1;2;1.1658995449543;Kondo et al. (2022);Experiment 1;Orientation
1;0;3;-27;3;1;2;0.986524407984689;Kondo et al. (2022);Experiment 1;Orientation
1;164;167;16;3;1;2;2.5376682470087;Kondo et al. (2022);Experiment 1;Orientation
1;61;54;-77;-7;1;2;1.67413948918693;Kondo et al. (2022);Experiment 1;Orientation
1;104;113;-43;9;1;2;0.951186720049009;Kondo et al. (2022);Experiment 1;Orientation
1;165;157;-61;-8;1;2;1.17399062309414;Kondo et al. (2022);Experiment 1;Orientation
1;161;158;4;-3;1;2;1.41511390684173;Kondo et al. (2022);Experiment 1;Orientation
1;170;160;-9;-10;1;2;1.83404533006251;Kondo et al. (2022);Experiment 1;Orientation
1;143;122;27;-21;1;2;1.55185508914292;Kondo et al. (2022);Experiment 1;Orientation
1;0;177;-37;-3;1;2;1.84551219199784;Kondo et al. (2022);Experiment 1;Orientation
1;150;148;30;-2;1;2;2.2975148211699;Kondo et al. (2022);Experiment 1;Orientation
1;178;176;-28;-2;1;2;1.35397549206391;Kondo et al. (2022);Experiment 1;Orientation
1;174;175;4;1;1;2;2.02348322421312;Kondo et al. (2022);Experiment 1;Orientation
1;161;151;13;-10;1;2;1.67200193810277;Kondo et al. (2022);Experiment 1;Orientation
1;20;23;-39;3;1;2;1.70144388196059;Kondo et al. (2022);Experiment 1;Orientation
1;172;167;28;-5;1;2;1.88551448401995;Kondo et al. (2022);Experiment 1;Orientation
1;39;39;-47;0;1;2;1.04934928193688;Kondo et al. (2022);Experiment 1;Orientation
1;176;163;43;-13;1;2;1.43637196300551;Kondo et al. (2022);Experiment 1;Orientation
1;111;124;65;13;1;2;1.19385141902603;Kondo et al. (2022);Experiment 1;Orientation
1;39;46;72;7;1;2;1.23179656499997;Kondo et al. (2022);Experiment 1;Orientation
1;26;29;13;3;1;2;1.1730251070112;Kondo et al. (2022);Experiment 1;Orientation
1;90;88;-64;-2;1;2;1.55069739907049;Kondo et al. (2022);Experiment 1;Orientation
1;156;146;-66;-10;1;2;1.42141726100817;Kondo et al. (2022);Experiment 1;Orientation
1;80;80;76;0;1;2;1.51783861103468;Kondo et al. (2022);Experiment 1;Orientation
1;138;145;-58;7;1;2;0.897346399957314;Kondo et al. (2022);Experiment 1;Orientation
1;29;32;-71;3;1;2;1.01771646807902;Kondo et al. (2022);Experiment 1;Orientation
1;9;15;20;6;1;2;1.0807507368736;Kondo et al. (2022);Experiment 1;Orientation
1;113;113;76;0;1;2;0.965736513957381;Kondo et al. (2022);Experiment 1;Orientation
1;47;46;66;-1;1;2;1.28092053788714;Kondo et al. (2022);Experiment 1;Orientation
1;26;29;21;3;1;2;1.63770062592812;Kondo et al. (2022);Experiment 1;Orientation
1;79;77;-53;-2;1;2;0.55315727298148;Kondo et al. (2022);Experiment 1;Orientation
