obs;theta;resp;delta;error;cond;block;rt;study;experiment;stimulus
1;97;109;NaN;12;1;1;1.33342457306571;Kondo et al. (2022);Experiment 3;Orientation
1;90;109;7;19;1;1;1.96656808489934;Kondo et al. (2022);Experiment 3;Orientation
1;119;105;-29;-14;1;1;2.52096344390884;Kondo et al. (2022);Experiment 3;Orientation
1;104;109;15;5;1;1;2.53341337898746;Kondo et al. (2022);Experiment 3;Orientation
1;142;125;-38;-17;1;1;2.62200631690212;Kondo et al. (2022);Experiment 3;Orientation
1;49;42;-87;-7;1;1;1.6475241240114;Kondo et al. (2022);Experiment 3;Orientation
1;172;173;57;1;1;1;2.47276288992725;Kondo et al. (2022);Experiment 3;Orientation
1;10;23;-18;13;1;1;2.39888261794113;Kondo et al. (2022);Experiment 3;Orientation
1;90;83;-80;-7;1;1;1.86133274203166;Kondo et al. (2022);Experiment 3;Orientation
1;150;142;-60;-8;1;1;1.05185579997487;Kondo et al. (2022);Experiment 3;Orientation
1;60;46;90;-14;1;1;2.87849052599631;Kondo et al. (2022);Experiment 3;Orientation
1;23;29;37;6;1;1;0.954358881805092;Kondo et al. (2022);Experiment 3;Orientation
1;18;26;5;8;1;1;2.06411218899302;Kondo et al. (2022);Experiment 3;Orientation
1;86;51;-68;-35;1;1;1.76861870894209;Kondo et al. (2022);Experiment 3;Orientation
1;114;127;-28;13;1;1;2.72284558787942;Kondo et al. (2022);Experiment 3;Orientation
1;12;30;-78;18;1;1;2.11071132309735;Kondo et al. (2022);Experiment 3;Orientation
1;2;0;10;-2;1;1;2.81976726697758;Kondo et al. (2022);Experiment 3;Orientation
1;148;150;34;2;1;1;0.868942846078426;Kondo et al. (2022);Experiment 3;Orientation
1;5;164;-37;-21;1;1;2.48182257404551;Kondo et al. (2022);Experiment 3;Orientation
1;128;132;57;4;1;1;0.813956890953705;Kondo et al. (2022);Experiment 3;Orientation
1;99;113;29;14;1;1;1.77552035101689;Kondo et al. (2022);Experiment 3;Orientation
1;22;42;77;20;1;1;1.75409400183707;Kondo et al. (2022);Experiment 3;Orientation
1;140;145;62;5;1;1;1.92821783688851;Kondo et al. (2022);Experiment 3;Orientation
1;64;36;76;-28;1;1;2.35462832194753;Kondo et al. (2022);Experiment 3;Orientation
1;127;132;-63;5;1;1;1.47279957402498;Kondo et al. (2022);Experiment 3;Orientation
1;17;28;-70;11;1;1;1.65456419298425;Kondo et al. (2022);Experiment 3;Orientation
