obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus
1;152;163;11;3.30428829998709;1;NaN;1;Houborg et al. (2023);Experiment 2;Orientation
1;58;63;5;2.36623559996951;1;-86;2;Houborg et al. (2023);Experiment 2;Orientation
1;124;120;-4;3.13873240002431;1;-66;3;Houborg et al. (2023);Experiment 2;Orientation
1;158;152;-6;1.82335950003471;1;-34;4;Houborg et al. (2023);Experiment 2;Orientation
1;71;16;-55;2.55534299998544;1;87;5;Houborg et al. (2023);Experiment 2;Orientation
1;41;25;-16;2.8226572999265;1;30;6;Houborg et al. (2023);Experiment 2;Orientation
1;87;69;-18;1.4530258999439;1;-46;7;Houborg et al. (2023);Experiment 2;Orientation
1;172;169;-3;2.25791489996482;1;-85;8;Houborg et al. (2023);Experiment 2;Orientation
1;55;74;19;2.12368179997429;1;-63;9;Houborg et al. (2023);Experiment 2;Orientation
1;2;0;-2;1.83738280006219;1;53;10;Houborg et al. (2023);Experiment 2;Orientation
1;106;117;11;2.42357230000198;1;76;11;Houborg et al. (2023);Experiment 2;Orientation
1;44;25;-19;1.58928710001055;1;62;12;Houborg et al. (2023);Experiment 2;Orientation
1;102;105;3;1.62378440005705;1;-58;13;Houborg et al. (2023);Experiment 2;Orientation
1;175;169;-6;12.0051944999723;1;-73;14;Houborg et al. (2023);Experiment 2;Orientation
1;114;117;3;1.42197650007438;1;61;15;Houborg et al. (2023);Experiment 2;Orientation
1;54;65;11;1.50607080000918;1;60;16;Houborg et al. (2023);Experiment 2;Orientation
1;45;37;-8;2.17252170003485;1;9;17;Houborg et al. (2023);Experiment 2;Orientation
1;140;141;1;1.85618410003372;1;85;18;Houborg et al. (2023);Experiment 2;Orientation
1;162;152;-10;1.65596440003719;1;-22;19;Houborg et al. (2023);Experiment 2;Orientation
1;47;72;25;1.88982490007766;1;-65;20;Houborg et al. (2023);Experiment 2;Orientation
1;12;17;5;2.43929180002306;2;35;21;Houborg et al. (2023);Experiment 2;Orientation
1;75;67;-8;2.29101470008027;2;-63;22;Houborg et al. (2023);Experiment 2;Orientation
1;153;150;-3;2.03819180000573;2;-78;23;Houborg et al. (2023);Experiment 2;Orientation
1;23;17;-6;1.63939529994968;2;-50;24;Houborg et al. (2023);Experiment 2;Orientation
1;171;171;0;3.19020930002443;2;32;25;Houborg et al. (2023);Experiment 2;Orientation
1;90;25;-65;2.94035499996971;2;81;26;Houborg et al. (2023);Experiment 2;Orientation
1;176;178;2;2.99013599997852;2;-86;27;Houborg et al. (2023);Experiment 2;Orientation
1;158;155;-3;2.54053369991016;2;18;28;Houborg et al. (2023);Experiment 2;Orientation
